Sentence Output
"What presidential administration challenged Americans to explore The New Frontier ?" HUM:gr
"What film ends with the line : `` This is Mrs. Norman Maine '' ?" ENTY:cremat
"What 's the oldest capital city in the Americas ?" LOC:city
"What is the origin of `` Beauty is in the eye of the beholder '' ?" DESC:desc
"What are close encounters of the first and second kind ?" ENTY:other
"Name the person who burst through the screen in the Lite beer commercials ." HUM:ind
"Who invented the vacuum cleaner ?" HUM:ind
"What time of year do most people fly ?" NUM:date
"What is a fear of disease ?" ENTY:dismed
"How does a parachute work ?" DESC:manner
"How many home runs did Babe Ruth hit in his lifetime ?" NUM:count
"What piece of jewelry is pictured on Monopoly 's Luxury Tax space ?" ENTY:other
"What is Columbia Tristar 's phone number ?" NUM:code
"What country would you visit to ski in the Dolomites ?" LOC:country
"What are fingernails made of ?" ENTY:substance
"What American poet wrote : `` Good fences make good neighbors '' ?" HUM:ind
"When does the Bible say the seasons started ?" NUM:date
"When did the American Civil War end ?" NUM:date
"How tall was the animated Frankenstein" NUM:dist
"Which of these are authors ?" HUM:ind
"Why were the American soldiers in WWI called `` Doughboys ''" DESC:reason
"What after-dinner treat was invented in 1916 at the George Jung noodle factory in Los Angeles ?" ENTY:food
"What does `` E Pluribus Unum '' on the penny mean ?" DESC:def
"Whom did Friz Freleng add to the Warner Bros. cartoon ranks ?" HUM:ind
"What makes thunder ?" DESC:reason
"What is the origin of the word Ozymandias ?" DESC:desc
"Who is the actress Bette Davis once said she wished she looked like ?" HUM:ind
"What infectious disease is the world 's deadliest ?" ENTY:dismed
"Where can I find a `` Fifth Element '' screensaver ?" LOC:other
"On which date is the Ukrainians ' Christmas ?" NUM:date
"What instrument does Benny Carter play ?" ENTY:instru
"What beer tells us , `` Grab all the gusto you can get . '' ?" ENTY:food
"Define Spumante ." DESC:def
"Who says , `` If you don 't look good , we don 't look good '' ?" HUM:ind
"What is the first book of the Old Testament ?" ENTY:cremat
"What causes tuberculosis ?" DESC:reason
"What is the origin of thank you notes ?" DESC:desc
"What are the first ten amendements passed ?" ENTY:cremat
"How do you get a broken cork out of a bottle ?" DESC:manner
"Why did the Globe Theatre burn down ?" DESC:reason
"What nationality is Pope John Paul II ?" LOC:country
"What are the two largest birds on earth ?" ENTY:animal
"What are the chemicals used in glowsticks ?" ENTY:substance
"Who portrayed Maggio in the film From Here to Eternity ?" HUM:ind
"What city is . KDGE Radio located in ?" LOC:city
"What is a fear of sourness ?" ENTY:dismed
"What are different products of petroleum ?" ENTY:product
"Aspartame is also known as what ?" ENTY:termeq
"What state does Charles Robb represent ?" LOC:state
"Garry Kasparov plays what game ?" ENTY:sport
"What soft drink held a national flavor poll in 1967 ?" ENTY:food
"How many times has `` Louie , Louie '' been recorded ?" NUM:count
"What is the folklore story regarding birds ' nests and birds in Christmas trees ?" ENTY:cremat
"Who else was considered for the role of Luke Skywalker when George Lucas was casting for Star Wars ?" HUM:ind
"What does the abbreviation AIDS stand for ?" ABBR:exp
"The trials resulting from World War II are known as what ?" ENTY:event
"Who penned : `` Neither a borrower nor a lender be '' ?" HUM:ind
"How many people died because of a smoking problem in 1997 ?" NUM:count
"What are some children 's rights ?" DESC:desc
"What did 8 , CD NNS VBP TO VB NNP POS NN ." ENTY:other
"Name a movie that the actress , Sandra Bullock , had a role in ." ENTY:cremat
"What California bridge was Don Brown the first to cross , on May 27 , 1937 ?" LOC:other
"Where can I find info on research being done on oilseeds thru genetics ?" LOC:other
"Name the ship Beany and Cecil sailed ." ENTY:veh
"What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?" LOC:country
"What is a leaky heart valve ?" DESC:def
"What is the recomended age to switch a child from a crib to a bed ?" NUM:period
"How many questions are on this thing ?" NUM:count
"What is the brand name of a chemical used to control ripening ?" ENTY:product
"How many revolutions does a standard LP make in three minutes ?" NUM:count
"What are the main blood vessels ?" ENTY:body
"What fowl grabs the spotlight after the Chinese Year of the Monkey ?" ENTY:animal
"Name of King Arthur 's sword ?" ENTY:other
"What are Arnold Palmer 's fans called ?" HUM:ind
"What occupation has the highest divorce rate ?" HUM:title
"What are some colorful flowers that will bloom in the fall in New England ?" ENTY:plant
"How do they find or choose witnesses to an execution ?" DESC:manner
"Who invented the toothbrush ?" HUM:ind
"What NFL team did Vince Lombardi end his coaching career with ?" HUM:gr
"What President had never held an elected office until he was elected to the White House ?" HUM:ind
"What 's the official animal of Canada ?" ENTY:animal
"What manufacturers are there in Texas ?" HUM:gr
"Who did the Seven Mules block for ?" HUM:ind
"What did Mighty Mouse always sing as he went into action ?" DESC:desc
"What is `` the washed vodka '' ?" DESC:def
"What is the definition of `` chancery '' file in real estate ?" DESC:def
"What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?" ENTY:product
"How many John Deere tractors have been manufactured ?" NUM:count
"What class is categorized as the bourgeoisie ?" ENTY:other
"What is a fear of being alone ?" ENTY:dismed
"Which classical Spanish writer said `` All that glitters is not gold '' ?" HUM:ind
"What is the origin of gametophytic tissue ?" DESC:desc
"What 's the only color Johnny Cash wears on stage ?" ENTY:color
"What is the most famous German word in the English language ?" ENTY:word
"How many websites are there in the world ?" NUM:count
"Whose kidnaping was termed The Crime of the Century ?" HUM:ind
"Where is the Valley of the Kings ?" LOC:other
"What 's the term for a young fox ?" ENTY:termeq
"What 's the name of the temple that is located near the capital city of Laos ?" LOC:other
"How do they get Teflon to stick to the pan ?" DESC:manner
"How do hermit crabs reproduce ?" DESC:manner
"What is the population of Japan ?" NUM:other
"In a computer , what does SCSI mean ?" ABBR:exp
"What have you not let a tennis ball do if you volley ?" DESC:desc
"What are the living conditions in Cuba ?" DESC:desc
"What is Maurizio Pellegrin 's age ?" NUM:period
"When was the first railroad from the east coast to the west coast completed ?" NUM:date
"How many miles is it from London , England to Plymouth , England ?" NUM:count
"Which NBA players had jersey number 0 ?" HUM:ind
"Name a flying mammal ." ENTY:animal
"Which is the best opening move in chess ?" ENTY:other
"How successful is arometherapy ?" DESC:manner
"What is a fear of everything ?" ENTY:dismed
"What is the definition of cecum ?" DESC:def
"When did Spielberg direct `` Jaws '' ?" NUM:date
"What is the approximate weight of a teaspoon of matter in a black hole ?" NUM:weight
"Why is Jane Goodall famous ?" DESC:reason
"Name a South African diamond producer ?" HUM:gr
"Where is the biggest bell ?" LOC:other
"What does BMW stand for ?" ABBR:exp
"What element , from the Periodic Table , is a gas or a solid , but never a liquid ?" ENTY:substance
"What is humidity ?" DESC:def
"How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US ? , DT CD NN NN ," NUM:money
"What do I have to do to get good grades in school ?" DESC:manner
"What two countries are linked by the Brenner Pass ?" LOC:country
"Who was President of Costa Rica in 1994 ?" HUM:ind
"Approximately how many students are enrolled at the University of Massachusetts ?" NUM:count
"How deep is a fathom ?" NUM:dist
"Who is Coronado ?" HUM:desc
"How do I start a bank ?" DESC:manner
"Who is the president of Bolivia ?" HUM:ind
"What caused the Titanic to sink ?" DESC:reason
"How many double-word-score spaces are there on a Scrabble Crossword Game board ?" NUM:count
"How long ago did the Anglican church part from the Vatican ?" NUM:period
"What alloy do copper and tin form ?" ENTY:substance
"What is the meaning of `` CPR '' ?" DESC:def
"In what country is a stuck-out tongue a friendly greeting ?" LOC:country
"What Hermann Hesse book gave its name to a rock group ?" ENTY:cremat
"What is the Immaculate Conception ?" DESC:def
"Who invented the radio ?" HUM:ind
"What Mexican leader was shot dead in 1923 ?" HUM:ind
"How many blacks served in the Vietnam War" NUM:count
"Who portrayed Dracula in Hammer Studios ' films ?" HUM:ind
"Why are the U.S. presidential elections held in November ?" DESC:reason
"What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?" ENTY:food
"How many years did Sleeping Beauty sleep ?" NUM:count
"How many URL extensions are there ? and what are they ?" NUM:count
"What court does Bob Woodward describe in The Brethren ?" HUM:gr
"Who starred in the movie The War of the Worlds ?" HUM:ind
"What film was Jude Law in ?" ENTY:cremat
"What girl 's name is `` Teddy '' an affectionate form of ?" HUM:ind
"What does verdandi mean ?" DESC:def
"What are the names of all the U.S. Navy aircraft carriers ?" ENTY:veh
"What is the location of Edinburgh , Scotland ?" LOC:other
"What are the seven virtues ?" DESC:def
"What country 's capital was formed when Pesth and Buda merged ?" LOC:country
"What makes you fat ?" DESC:reason
"What were popular songs and types of songs in the 1920s ?" ENTY:cremat
"How many years make up a lustrum ?" NUM:count
"Where can I find information on becoming a journalist ?" LOC:other
"What relative of Leo Tolstoy translated War and Peace eight times ?" HUM:ind
"What onetime member of Ronald Reagan 's cabinet called federal policy toward Indians `` an example of the failure of socialism '' ?" HUM:ind
"When was the first flush toilet invented ?" NUM:date
"Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?" HUM:ind
"Who wrote the book , `` The Grinch Who Stole Christmas '' ?" HUM:ind
"How would someone go about becoming an organ donor ?" DESC:manner
"Why are eggs supposed to be stored small end down ?" DESC:reason
"Who was the second man to walk on the moon ?" HUM:ind
"How many Jews were executed in concentration camps during WWII ?" NUM:count
"Which side of the face do most artists tend to show more of in self-portraits ?" ENTY:other
"What square is the geographical center of London ?" LOC:other
"What does an edentulous smile lack ?" ENTY:other
"Who directed `` Jaws '' ?" HUM:ind
"Where does the U.S. get most of its energy ?" LOC:other
"What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?" HUM:ind
"Who invented the game Scrabble ?" HUM:ind
"How long does a pig 's orgasm last ?" NUM:period
"What seven digits follow the area code in the number for long distance information ?" NUM:code
"What spy novelist served as Moscow correspondent for Reuter and The Times of London ?" HUM:ind
"Which is the largest clock , diameter wise , in Europe ?" ENTY:other
"What is the most heavily caffeinated soft drink ?" ENTY:food
"Who is the prime minister of Australia ?" HUM:ind
"Who painted `` Soft Self-Portrait with Grilled Bacon '' ?" HUM:ind
"What are the lengths of pearl necklaces ?" NUM:dist
"How many years ago did Led Zeppelin release its last album ?" NUM:count
"What flower did Vincent Van Gogh paint ?" ENTY:plant
"What was the only country you were allowed to drive into Israel from in 1979 ?" LOC:country
"Who invented the Moog Synthesizer ?" HUM:ind
"Where can I find the lyrics for the song ` Getting Married Today ' from the musical ` Company ' ?" LOC:other
"How do wasps make their nests ?" DESC:manner
"What was the name of the ball game played by the mayans ?" ENTY:sport
"What does the name Melissa mean ?" DESC:def
"Who is the mayor of Marbella ?" HUM:ind
"What English word comes from the Old French covrefeu , meaning cover fire ?" ENTY:word
"What is HDLC ?" ABBR:exp
"What is the most number of goals scored by a single team in an NHL hockey game ?" NUM:count
"How does a glacier form ?" DESC:manner
